bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Circana Group (f.k.a. NPD Group) | Consumer Services 2,Circana Group (f.k.a. NPD Group),Circana Group (f.k.a. NPD Group),,Consumer Services,,,3879210.0174260866,3879210.0174260866,3879210.0174260866,,100.0,4.3,,,,False,,,USD,4300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Civica Group Ltd | Software & Services 1,Civica Group Ltd,Civica Group Ltd,,Software & Services,,,3969424.203877856,3969424.203877856,3157496.5258119307,,125.71,5.5,,,0.0,False,,,USD,4400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Civica Group Ltd | Software & Services 2,Civica Group Ltd,Civica Group Ltd,,Software & Services,,,4420495.136136703,4600923.509040242,3608567.4580707783,,122.5,5.5,,,0.0,False,,,USD,4900000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Civica Group Ltd | Software & Services 3,Civica Group Ltd,Civica Group Ltd,,Software & Services,,,3879210.0174260866,3969424.203877856,3247710.7122637,,119.44,5.5,,,0.0,False,,,USD,4300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Clarience Technologies LLC | Capital Goods 1,Clarience Technologies LLC,Clarience Technologies LLC,,Capital Goods,,,72081134.97496378,72802848.46657795,72802848.46657795,,99.01,4.8,,,0.0,False,,,USD,79900000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Clarience Technologies LLC | Capital Goods 2,Clarience Technologies LLC,Clarience Technologies LLC,,Capital Goods,,,2074926.2883906974,2074926.2883906974,2074926.2883906974,,100.0,4.8,,,,False,,,USD,2300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Clarience Technologies LLC | Capital Goods 3,Clarience Technologies LLC,Clarience Technologies LLC,,Capital Goods,,,9923560.50969464,10013774.69614641,10013774.69614641,,99.1,4.8,,,,False,,,USD,11000000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Clarience Technologies LLC | Capital Goods 4,Clarience Technologies LLC,Clarience Technologies LLC,,Capital Goods,,,21922047.307779975,22102475.680683516,22102475.680683516,,99.18,4.8,,,0.0,False,,,USD,24300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,CLEAResult Consulting Inc | Commercial & Professional Services 1,CLEAResult Consulting Inc,CLEAResult Consulting Inc,,Commercial & Professional Services,,,16328767.74777027,16058125.188414963,16148339.374866731,,101.12,4.8,,,0.0,False,,,USD,18100000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,CLEAResult Consulting Inc | Commercial & Professional Services 2,CLEAResult Consulting Inc,CLEAResult Consulting Inc,,Commercial & Professional Services,,,4149852.576781395,4059638.3903296255,4059638.3903296255,,102.22,4.8,,,0.0,False,,,USD,4600000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,CLEAResult Consulting Inc | Commercial & Professional Services 3,CLEAResult Consulting Inc,CLEAResult Consulting Inc,,Commercial & Professional Services,,,2706425.5935530835,2706425.5935530835,2706425.5935530835,,100.0,4.8,,,,False,,,USD,3000000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,ClubCorp Club Operations Inc | Consumer Services 1,ClubCorp Club Operations Inc,ClubCorp Club Operations Inc,,Consumer Services,,,16148339.374866731,16148339.374866731,16238553.561318502,,99.44,4.8,,,,False,,,USD,17900000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,ClubCorp Club Operations Inc | Consumer Services 2,ClubCorp Club Operations Inc,ClubCorp Club Operations Inc,,Consumer Services,,,5142208.627750859,5142208.627750859,5142208.627750859,,100.0,5.0,,,,False,,,USD,5700000.0
